Hour,Minute,Day,Capacity (MW)
1,15,1,567.6166111
1,30,1,588.8356977
1,45,1,521.8376769
1,60,1,572.9287773
2,15,1,564.033187
2,30,1,537.4081426
2,45,1,551.7170986
2,60,1,564.4237625
3,15,1,617.3933579
3,30,1,604.1506842
3,45,1,536.7173508
3,60,1,608.4966971
4,15,1,570.6898672
4,30,1,557.7827917
4,45,1,570.5153413
4,60,1,555.4597056
5,15,1,556.782757
5,30,1,583.2013498
5,45,1,581.8808946
5,60,1,582.0144398
6,15,1,569.8074081
6,30,1,539.0484391
6,45,1,570.5561967
6,60,1,585.5019517
7,15,1,566.818191
7,30,1,575.7529246
7,45,1,570.7141096
7,60,1,553.8476721
8,15,1,563.6256759
8,30,1,545.9271805
8,45,1,573.3580365
8,60,1,540.0374623
9,15,1,541.3175906
9,30,1,545.5635064
9,45,1,510.6170683
9,60,1,582.3612854
10,15,1,564.1383691
10,30,1,546.4568234
10,45,1,581.2467871
10,60,1,530.7974762
11,15,1,557.1412912
11,30,1,554.8625119
11,45,1,564.0404143
11,60,1,563.9364952
12,15,1,544.6569158
12,30,1,558.3230603
12,45,1,556.1159305
12,60,1,569.0905683
13,15,1,576.711759
13,30,1,576.9738039
13,45,1,544.6770033
13,60,1,560.0813683
14,15,1,538.939904
14,30,1,540.5869929
14,45,1,558.7028765
14,60,1,583.9041581
15,15,1,546.215569
15,30,1,564.8944712
15,45,1,555.1221833
15,60,1,577.10612
16,15,1,540.9870175
16,30,1,559.3479657
16,45,1,567.8598673
16,60,1,576.8319893
17,15,1,584.0937487
17,30,1,560.2216927
17,45,1,534.3976666
17,60,1,546.6635189
18,15,1,541.436907
18,30,1,597.2919848
18,45,1,548.7375972
18,60,1,571.0610169
19,15,1,555.665109
19,30,1,573.3615527
19,45,1,546.294418
19,60,1,535.859857
20,15,1,535.5307061
20,30,1,566.8067343
20,45,1,555.9113687
20,60,1,555.6056044
21,15,1,582.0491072
21,30,1,563.5882362
21,45,1,562.0531669
21,60,1,584.8056341
22,15,1,545.6458923
22,30,1,570.2187417
22,45,1,572.4853933
22,60,1,554.8253832
23,15,1,562.3455193
23,30,1,539.7301348
23,45,1,540.023013
23,60,1,560.5317991
24,15,1,570.6382985
24,30,1,601.1394918
24,45,1,547.8979997
24,60,1,561.8816089
1,15,2,557.4645663
1,30,2,527.1714148
1,45,2,551.6291241
1,60,2,529.4361074
2,15,2,572.5719474
2,30,2,544.2779148
2,45,2,560.4535197
2,60,2,549.9010614
3,15,2,563.7836354
3,30,2,548.9876542
3,45,2,566.8357323
3,60,2,570.9183743
4,15,2,586.838603
4,30,2,555.6371977
4,45,2,523.8101242
4,60,2,545.0709322
5,15,2,580.9897091
5,30,2,541.2638179
5,45,2,574.5458148
5,60,2,560.8456952
6,15,2,582.3337237
