Hour,Minute,Day,Capacity (MW)
1,15,1,374.5166111
1,30,1,395.7356977
1,45,1,328.7376769
1,60,1,379.8287773
2,15,1,370.933187
2,30,1,344.3081426
2,45,1,358.6170986
2,60,1,371.3237625
3,15,1,424.2933579
3,30,1,411.0506842
3,45,1,343.6173508
3,60,1,415.3966971
4,15,1,377.5898672
4,30,1,364.6827917
4,45,1,377.4153413
4,60,1,362.3597056
5,15,1,363.682757
5,30,1,390.1013498
5,45,1,388.7808946
5,60,1,388.9144398
6,15,1,376.7074081
6,30,1,345.9484391
6,45,1,377.4561967
6,60,1,392.4019517
7,15,1,373.718191
7,30,1,382.6529246
7,45,1,377.6141096
7,60,1,360.7476721
8,15,1,370.5256759
8,30,1,352.8271805
8,45,1,380.2580365
8,60,1,346.9374623
9,15,1,348.2175906
9,30,1,352.4635064
9,45,1,317.5170683
9,60,1,389.2612854
10,15,1,371.0383691
10,30,1,353.3568234
10,45,1,388.1467871
10,60,1,337.6974762
11,15,1,364.0412912
11,30,1,361.7625119
11,45,1,370.9404143
11,60,1,370.8364952
12,15,1,351.5569158
12,30,1,365.2230603
12,45,1,363.0159305
12,60,1,375.9905683
13,15,1,383.611759
13,30,1,383.8738039
13,45,1,351.5770033
13,60,1,366.9813683
14,15,1,345.839904
14,30,1,347.4869929
14,45,1,365.6028765
14,60,1,390.8041581
15,15,1,353.115569
15,30,1,371.7944712
15,45,1,362.0221833
15,60,1,384.00612
16,15,1,347.8870175
16,30,1,366.2479657
16,45,1,374.7598673
16,60,1,383.7319893
17,15,1,390.9937487
17,30,1,367.1216927
17,45,1,341.2976666
17,60,1,353.5635189
18,15,1,348.336907
18,30,1,404.1919848
18,45,1,355.6375972
18,60,1,377.9610169
19,15,1,362.565109
19,30,1,380.2615527
19,45,1,353.194418
19,60,1,342.759857
20,15,1,342.4307061
20,30,1,373.7067343
20,45,1,362.8113687
20,60,1,362.5056044
21,15,1,388.9491072
21,30,1,370.4882362
21,45,1,368.9531669
21,60,1,391.7056341
22,15,1,352.5458923
22,30,1,377.1187417
22,45,1,379.3853933
22,60,1,361.7253832
23,15,1,369.2455193
23,30,1,346.6301348
23,45,1,346.923013
23,60,1,367.4317991
24,15,1,377.5382985
24,30,1,408.0394918
24,45,1,354.7979997
24,60,1,368.7816089
1,15,2,364.3645663
1,30,2,334.0714148
1,45,2,358.5291241
1,60,2,336.3361074
2,15,2,379.4719474
2,30,2,351.1779148
2,45,2,367.3535197
2,60,2,356.8010614
3,15,2,370.6836354
3,30,2,355.8876542
3,45,2,373.7357323
3,60,2,377.8183743
4,15,2,393.738603
4,30,2,362.5371977
4,45,2,330.7101242
4,60,2,351.9709322
5,15,2,387.8897091
5,30,2,348.1638179
5,45,2,381.4458148
5,60,2,367.7456952
6,15,2,389.2337237
6,30,2,333.615067
6,45,2,362.47868
6,60,2,345.9425694
7,15,2,413.3190915
7,30,2,379.2238333
7,45,2,388.2887713
7,60,2,348.3925892
8,15,2,358.0437629
8,30,2,361.2546758
8,45,2,383.696211
8,60,2,361.1662365
9,15,2,377.1992337
9,30,2,332.1267672
9,45,2,359.9224755
9,60,2,352.2328886
10,15,2,339.8985765
10,30,2,374.030545
10,45,2,370.3310791
10,60,2,366.2630657
11,15,2,343.8826921
11,30,2,384.1720486
11,45,2,371.447437
11,60,2,360.8192891
12,15,2,366.0897059
12,30,2,361.4261347
12,45,2,337.0640235
12,60,2,361.0388936
13,15,2,352.1055302
13,30,2,349.6853928
13,45,2,346.7847049
13,60,2,356.9806701
14,15,2,332.931853
14,30,2,381.4994356
14,45,2,374.2283839
14,60,2,365.3871441
15,15,2,365.1457973
15,30,2,352.6490621
15,45,2,382.3908781
15,60,2,363.5342299
16,15,2,354.0181412
16,30,2,387.837185
16,45,2,362.0354978
16,60,2,356.0725948
17,15,2,360.9062536
17,30,2,351.8344474
17,45,2,347.3784997
17,60,2,407.065615
