Year,Month,Day,Hour,Minute,Temperature,Clearsky.DHI,Clearsky.DNI,Clearsky.GHI,Cloud.Type,Dew.Point,DHI,DNI,Fill.Flag,GHI,Ozone,Relative.Humidity,Solar.Zenith.Angle,Surface.Albedo,Pressure,Precipitable.Water,Wind.Direction,Wind.Speed,X50Hertz..MW.
2018,1,1,7,15,6.3,0,0,0,7,4.7,0,0,0,0,0.308,89.35,91.12,0.12,995,1,236,5.6,6
2018,1,1,7,30,6.4,11,94,13,7,4.7,1,0,3,1,0.31,88.73,88.96,0.12,995,1,235,5.7,45
2018,1,1,7,45,6.5,19,186,28,4,4.6,7,0,3,7,0.312,87.45,87.42,0.12,995,1,235,5.8,108
2018,1,1,8,0,6.6,26,280,47,4,4.6,12,0,3,12,0.313,86.94,85.89,0.12,996,1,235,5.9,179
2018,1,1,8,15,6.8,33,359,68,4,4.6,18,0,3,18,0.315,85.75,84.42,0.12,996,1,235,6.1,230
2018,1,1,8,30,7,38,419,89,4,4.6,23,0,3,23,0.317,84.59,83.04,0.12,996,1.1,235,6.2,289
2018,1,1,8,45,7.2,47,413,107,4,4.7,29,0,3,29,0.319,83.96,81.75,0.12,996,1.1,235,6.3,340
2018,1,1,9,0,7.4,52,456,127,4,4.7,34,0,3,34,0.321,82.83,80.56,0.12,996,1.1,235,6.4,424
2018,1,1,9,15,7.5,55,492,145,4,4.7,40,0,3,40,0.323,82.26,79.48,0.12,996,1.1,235,6.4,536
2018,1,1,9,30,7.7,59,522,162,4,4.7,45,0,3,45,0.324,81.15,78.52,0.12,996,1.1,236,6.4,637
2018,1,1,9,45,7.8,65,516,175,4,4.7,50,0,3,50,0.326,80.81,77.69,0.12,996,1.1,237,6.5,732
2018,1,1,10,0,7.9,67,536,188,4,4.7,54,0,3,54,0.327,80.26,76.98,0.12,996,1.1,237,6.5,765
2018,1,1,10,15,8,69,551,198,4,4.7,57,0,3,57,0.329,79.72,76.4,0.12,996,1.1,239,6.5,805
2018,1,1,10,30,8,70,562,206,4,4.7,60,0,3,60,0.331,79.72,75.95,0.12,996,1.1,240,6.4,807
2018,1,1,10,45,8,70,575,212,4,4.7,62,0,3,62,0.332,79.44,75.65,0.12,996,1.1,241,6.4,800
2018,1,1,11,0,8.1,70,579,216,4,4.7,63,0,3,63,0.334,78.91,75.48,0.12,996,1.1,242,6.4,893
2018,1,1,11,15,8,70,579,216,4,4.7,63,0,3,63,0.335,79.44,75.46,0.12,996,1.1,244,6.3,849
2018,1,1,11,30,8,70,576,214,4,4.7,62,0,3,62,0.337,79.44,75.57,0.12,996,1.1,245,6.1,789
2018,1,1,11,45,8,67,589,211,4,4.6,61,0,3,61,0.339,79.03,75.83,0.12,996,1.1,247,6,761
2018,1,1,12,0,8,65,579,203,4,4.6,58,0,3,58,0.341,79.03,76.23,0.12,996,1.1,248,5.9,685
2018,1,1,12,15,7.8,64,570,195,4,4.6,55,0,3,55,0.342,80.11,76.76,0.12,996,1,249,5.7,657
2018,1,1,12,30,7.7,62,552,182,4,4.6,51,0,3,51,0.344,80.66,77.42,0.12,996,1,250,5.6,583
2018,1,1,12,45,7.6,57,547,169,4,4.3,47,0,3,47,0.346,79.61,78.22,0.12,997,1,251,5.4,546
2018,1,1,13,0,7.4,55,520,152,4,4.3,42,0,3,42,0.347,80.7,79.14,0.12,997,1,252,5.2,477
2018,1,1,13,15,7.1,51,491,135,4,4.3,37,0,3,37,0.348,82.37,80.17,0.12,997,0.9,252,5,392
2018,1,1,13,30,6.8,47,450,115,1,4.3,47,450,0,115,0.349,84.08,81.32,0.12,997,0.9,251,4.7,325
2018,1,1,13,45,6.5,41,424,96,2,3.7,25,0,3,25,0.35,82.41,82.58,0.12,997,0.9,251,4.5,271
2018,1,1,14,0,6.2,36,364,74,4,3.7,19,0,3,19,0.351,84.13,83.93,0.12,997,0.9,251,4.2,191
2018,1,1,14,15,5.9,30,295,54,6,3.7,5,0,3,5,0.352,85.89,85.37,0.12,997,0.8,249,3.9,123
2018,1,1,14,30,5.5,23,206,34,6,3.7,4,0,3,4,0.353,88.3,86.87,0.12,997,0.8,247,3.7,68
2018,1,1,14,45,5.1,14,119,18,7,3,2,0,3,2,0.353,86.6,88.42,0.12,997,0.8,245,3.4,20
2018,1,1,15,0,4.7,0,0,0,4,3,0,0,0,0,0.354,89.05,89.93,0.12,997,0.8,243,3.1,3
2018,1,2,7,15,1.2,0,0,0,4,1,0,0,0,0,0.352,98.54,91.1,0.12,998,1.3,296,1.8,2
2018,1,2,7,30,1.1,10,25,11,4,1,10,25,5,11,0.353,99.25,88.93,0.12,998,1.3,298,2.1,11
2018,1,2,7,45,1.1,21,87,25,4,0.6,7,0,3,7,0.354,96.62,87.39,0.12,999,1.3,300,2.5,21
2018,1,2,8,0,1,30,160,42,4,0.6,12,0,3,12,0.355,97.32,85.86,0.12,999,1.3,303,2.8,34
2018,1,2,8,15,1.1,39,229,61,4,0.6,17,0,3,17,0.356,96.62,84.39,0.12,999,1.3,301,2.9,54
2018,1,2,8,30,1.2,46,289,82,4,0.6,23,0,3,23,0.356,96.03,83,0.12,1000,1.3,300,3,79
2018,1,2,8,45,1.2,55,314,101,4,0.8,29,0,3,29,0.356,96.83,81.71,0.12,1000,1.2,299,3.1,103
2018,1,2,9,0,1.3,61,357,120,4,0.8,34,0,3,34,0.357,96.14,80.51,0.12,1000,1.2,298,3.1,129
2018,1,2,9,15,1.5,66,393,138,4,0.8,40,0,3,40,0.358,94.77,79.43,0.12,1000,1.2,295,3.1,158
2018,1,2,9,30,1.8,70,423,155,4,0.8,45,0,3,45,0.358,92.85,78.47,0.12,1001,1.2,291,3.1,179
2018,1,2,9,45,2,73,448,169,7,1.5,8,0,3,8,0.359,96.77,77.62,0.12,1001,1.2,287,3.1,197
2018,1,2,10,0,2.2,76,468,182,4,1.5,54,0,3,54,0.36,95.4,76.91,0.12,1001,1.2,284,3.1,234
2018,1,2,10,15,2.5,78,483,192,4,1.5,57,0,3,57,0.361,93.39,76.33,0.12,1001,1.2,281,3.2,247
2018,1,2,10,30,2.8,80,495,200,4,1.5,60,0,3,60,0.362,91.43,75.88,0.12,1001,1.2,278,3.3,260
2018,1,2,10,45,3.1,81,500,206,4,2.7,62,0,3,62,0.364,96.91,75.57,0.12,1001,1.2,275,3.4,300
2018,1,2,11,0,3.4,82,504,209,4,2.7,63,0,3,63,0.365,94.98,75.4,0.12,1002,1.2,272,3.5,309
2018,1,2,11,15,3.6,82,505,209,4,2.7,63,0,3,63,0.367,93.65,75.37,0.12,1002,1.2,271,3.6,301
2018,1,2,11,30,3.8,81,502,207,7,2.7,9,0,3,9,0.368,92.34,75.48,0.12,1002,1.2,269,3.7,295
2018,1,2,11,45,4,86,462,200,4,3.5,61,0,3,61,0.37,96.55,75.73,0.12,1002,1.2,267,3.8,300
2018,1,2,12,0,4.2,84,452,193,4,3.5,59,0,3,59,0.372,95.21,76.12,0.12,1002,1.2,266,3.8,289
2018,1,2,12,15,4.2,82,438,183,4,3.5,55,0,3,55,0.373,95.21,76.65,0.12,1002,1.2,265,3.9,284
2018,1,2,12,30,4.3,79,420,172,4,3.5,52,0,3,52,0.375,94.54,77.31,0.12,1002,1.2,265,3.9,264
2018,1,2,12,45,4.4,75,403,159,4,3.8,47,0,3,47,0.376,96.13,78.1,0.12,1002,1.2,265,4,226
2018,1,2,13,0,4.4,71,376,143,4,3.9,42,0,3,42,0.378,96.23,79.02,0.12,1003,1.2,264,4,218
2018,1,2,13,15,4.4,66,343,125,4,3.9,37,0,3,37,0.378,96.23,80.05,0.12,1003,1.2,265,4.1,184
2018,1,2,13,30,4.4,60,304,107,4,3.9,31,0,3,31,0.379,96.23,81.2,0.12,1003,1.2,265,4.1,153
2018,1,2,13,45,4.5,50,300,89,4,3.8,25,0,3,25,0.38,95.47,82.45,0.12,1003,1.2,266,4.1,126
2018,1,2,14,0,4.5,43,245,69,4,3.8,20,0,3,20,0.381,95.47,83.8,0.12,1003,1.2,266,4.1,101
2018,1,2,14,15,4.4,34,182,49,4,3.8,14,0,3,14,0.38,96.14,85.24,0.12,1003,1.2,266,4,62
2018,1,2,14,30,4.4,25,114,31,4,3.8,9,0,3,9,0.38,96.14,86.75,0.12,1003,1.1,266,3.8,30
2018,1,2,14,45,4.3,14,81,17,4,3.6,4,0,3,4,0.379,95.12,88.3,0.12,1004,1.1,266,3.7,13
2018,1,2,15,0,4.2,0,0,0,4,3.6,0,0,0,0,0.378,95.79,89.81,0.12,1004,1.1,266,3.5,3
2018,1,3,7,15,1.5,0,0,0,6,0.8,0,0,0,0,0.383,94.98,91.07,0.12,980,1.9,164,8.1,2
2018,1,3,7,30,1.7,10,79,12,6,0.8,1,0,3,1,0.385,93.54,88.91,0.12,979,1.9,169,7.8,10
2018,1,3,7,45,1.8,17,169,25,6,1.3,3,0,3,3,0.386,96.66,87.36,0.12,979,1.9,174,7.5,22
2018,1,3,8,0,1.9,24,254,43,6,1.3,4,0,3,4,0.388,95.88,85.83,0.12,978,1.8,179,7.2,32
2018,1,3,8,15,2.3,31,326,63,9,1.3,5,0,3,5,0.39,93.19,84.35,0.12,978,1.8,191,6.8,44
2018,1,3,8,30,2.7,37,387,85,9,1.3,5,0,3,5,0.392,90.58,82.96,0.12,978,1.7,202,6.4,65
2018,1,3,8,45,3.1,47,383,102,9,3,6,0,3,6,0.394,99.21,81.66,0.12,978,1.6,214,6,73
2018,1,3,9,0,3.5,52,424,122,9,3,6,0,3,6,0.396,96.35,80.46,0.12,977,1.6,225,5.6,92
2018,1,3,9,15,4,56,461,141,4,3,40,0,3,40,0.398,93.02,79.38,0.12,977,1.5,234,5.6,121
2018,1,3,9,30,4.4,60,492,159,6,3,7,0,3,7,0.4,90.45,78.41,0.12,977,1.4,242,5.6,154
2018,1,3,9,45,4.8,62,523,175,9,4.5,8,0,3,8,0.403,97.6,77.56,0.12,977,1.3,251,5.6,192
2018,1,3,10,0,5.3,64,545,188,9,4.5,8,0,3,8,0.405,94.27,76.84,0.12,977,1.2,259,5.7,233
2018,1,3,10,15,5.4,66,559,199,9,4.5,8,0,3,8,0.408,93.71,76.25,0.12,978,1.2,260,5.7,373
2018,1,3,10,30,5.5,68,573,209,6,4.5,9,0,3,9,0.41,93.06,75.8,0.12,978,1.1,260,5.8,328
2018,1,3,10,45,5.6,66,603,217,6,4.4,9,0,3,9,0.413,92.01,75.48,0.12,978,1,261,5.9,453
